id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
118;;;;;Curaçá;Moraújo;;;Itajá;Mirador;Campanha;;Santa Rita do Trivelato;São Domingos do Araguaia;Formosa do Oeste;Matinhas;Paranatama;Landri Sales;;Riacho de Santana;Coronel Bicaco;;;Ipuaçu;Capão Bonito;;Santa Rosa do Tocantins
119;;;;;Dário Meira;Morrinhos;;;Itapaci;Miranda do Norte;Campestre;;Santa Terezinha;São Domingos do Capim;Foz do Iguaçu;Mato Grosso;Parnamirim;Luís Correia;;Riachuelo;Coronel Pilar;;;Ipumirim;Capela do Alto;;Santa Tereza do Tocantins
120;;;;;Dias D´ávila;Mucambo;;;Itapirapuã;Mirinzal;Campina Verde;;Santo Antônio do Leste;São Félix do Xingu;Francisco Alves;Maturéia;Passira;Luzilândia;;Rodolfo Fernandes;Cotiporã;;;Iraceminha;Capivari;;Santa Terezinha do Tocantins
121;;;;;Dom Basílio;Mulungu;;;Itapuranga;Monção;Campo Azul;;Santo Antônio do Leverger;São Francisco do Pará;Francisco Beltrão;Mogeiro;Paudalho;Madeiro;;Tibau;Coxilha;;;Irani;Caraguatatuba;;São Bento do Tocantins
122;;;;;Dom Macedo Costa;Nova Olinda;;;Itarumã;Montes Altos;Campo Belo;;São Félix do Araguaia;São Geraldo do Araguaia;Foz do Jordão;Montadas;Paulista;Manoel Emídio;;Ruy Barbosa;Crissiumal;;;Irati;Carapicuíba;;São Félix do Tocantins
123;;;;;Elísio Medrado;Nova Russas;;;Itauçu;Morros;Campo do Meio;;Sapezal;São João da Ponta;General Carneiro;Monte Horebe;Pedra;Marcolândia;;Santa Cruz;Cristal;;;Irineópolis;Cardoso;;São Miguel do Tocantins
124;;;;;Encruzilhada;Novo Oriente;;;Itumbiara;Nina Rodrigues;Campo Florido;;Serra Nova Dourada;São João de Pirabas;Godoy Moreira;Monteiro;Pesqueira;Marcos Parente;;Santana do Matos;Cristal do Sul;;;Itá;Casa Branca;;São Salvador do Tocantins
125;;;;;Entre Rios;Ocara;;;Ivolândia;Nova Colinas;Campos Altos;;Sinop;São João do Araguaia;Goioerê;Mulungu;Petrolândia;Massapê do Piauí;;Santana do Seridó;Cruz Alta;;;Itaiópolis;Cássia Dos Coqueiros;;São Sebastião do Tocantins
126;;;;;Esplanada;Orós;;;Jandaia;Nova Iorque;Campos Gerais;;Sorriso;São Miguel do Guamá;Goioxim;Natuba;Petrolina;Matias Olímpio;;Santo Antônio;Cruzaltense;;;Itajaí;Castilho;;São Valério da Natividade
127;;;;;Euclides da Cunha;Pacajus;;;Jaraguá;Nova Olinda do Maranhão;Canaã;;Tabaporã;São Sebastião da Boa Vista;Grandes Rios;Nazarezinho;Poção;Miguel Alves;;São Bento do Norte;Cruzeiro do Sul;;;Itapema;Catanduva;;Silvanópolis
128;;;;;Eunápolis;Pacatuba;;;Jataí;Olho D´água Das Cunhãs;Canápolis;;Tangará da Serra;Sapucaia;Guaíra;Nova Floresta;Pombos;Miguel Leão;;São Bento do Trairí;David Canabarro;;;Itapiranga;Catiguá;;Sítio Novo do Tocantins
129;;;;;Fátima;Pacoti;;;Jaupaci;Olinda Nova do Maranhão;Cana Verde;;Tapurah;Senador José Porfírio;Guairaçá;Nova Olinda;Primavera;Milton Brandão;;São Fernando;Derrubadas;;;Itapoá;Cedral;;Sucupira
130;;;;;Feira da Mata;Pacujá;;;Jesúpolis;Paço do Lumiar;Candeias;;Terra Nova do Norte;Soure;Guamiranga;Nova Palmeira;Quipapá;Monsenhor Gil;;São Francisco do Oeste;Dezesseis de Novembro;;;Ituporanga;Cerqueira César;;Taguatinga
131;;;;;Feira de Santana;Palhano;;;Joviânia;Palmeirândia;Cantagalo;;Tesouro;Tailândia;Guapirama;Olho D´água;Quixaba;Monsenhor Hipólito;;São Gonçalo do Amarante;Dilermando de Aguiar;;;Jaborá;Cerquilho;;Taipas do Tocantins
132;;;;;Filadélfia;Palmácia;;;Jussara;Paraibano;Caparaó;;Torixoréu;Terra Alta;Guaporema;Olivedos;Recife;Monte Alegre do Piauí;;São João do Sabugi;Dois Irmãos;;;Jacinto Machado;Cesário Lange;;Talismã
133;;;;;Firmino Alves;Paracuru;;;Lagoa Santa;Parnarama;Capela Nova;;União do Sul;Terra Santa;Guaraci;Ouro Velho;Riacho Das Almas;Morro Cabeça no Tempo;;São José de Mipibu;Dois Irmãos Das Missões;;;Jaguaruna;Charqueada;;Palmas
134;;;;;Floresta Azul;Paraipaba;;;Leopoldo de Bulhões;Passagem Franca;Capelinha;;Vale de São Domingos;Tomé-açu;Guaraniaçu;Parari;Ribeirão;Morro do Chapéu do Piauí;;São José do Campestre;Dois Lajeados;;;Jaraguá do Sul;Clementina;;Tocantínia
