id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
353;;;;;São Domingos;;;;;;Inhaúma;;;;São Miguel do Iguaçu;;;;;;Roque Gonzales;;;;Monte Azul Paulista;;
354;;;;;São Félix;;;;;;Inimutaba;;;;São Pedro do Iguaçu;;;;;;Rosário do Sul;;;;Monte Castelo;;
355;;;;;São Félix do Coribe;;;;;;Ipaba;;;;São Pedro do Ivaí;;;;;;Sagrada Família;;;;Monteiro Lobato;;
356;;;;;São Felipe;;;;;;Ipanema;;;;São Pedro do Paraná;;;;;;Saldanha Marinho;;;;Monte Mor;;
357;;;;;São Francisco do Conde;;;;;;Ipatinga;;;;São Sebastião da Amoreira;;;;;;Salto do Jacuí;;;;Morro Agudo;;
358;;;;;São Gabriel;;;;;;Ipiaçu;;;;São Tomé;;;;;;Salvador Das Missões;;;;Morungaba;;
359;;;;;São Gonçalo Dos Campos;;;;;;Ipuiúna;;;;Sapopema;;;;;;Salvador do Sul;;;;Motuca;;
360;;;;;São José da Vitória;;;;;;Iraí de Minas;;;;Sarandi;;;;;;Sananduva;;;;Murutinga do Sul;;
361;;;;;São José do Jacuípe;;;;;;Itabira;;;;Saudade do Iguaçu;;;;;;Santa Bárbara do Sul;;;;Nantes;;
362;;;;;São Miguel Das Matas;;;;;;Itabirinha;;;;Sengés;;;;;;Santa Cecília do Sul;;;;Narandiba;;
363;;;;;São Sebastião do Passé;;;;;;Itabirito;;;;Serranópolis do Iguaçu;;;;;;Santa Clara do Sul;;;;Natividade da Serra;;
364;;;;;Sapeaçu;;;;;;Itacambira;;;;Sertaneja;;;;;;Santa Cruz do Sul;;;;Nazaré Paulista;;
365;;;;;Sátiro Dias;;;;;;Itacarambi;;;;Sertanópolis;;;;;;Santa Maria;;;;Neves Paulista;;
366;;;;;Saubara;;;;;;Itaguara;;;;Siqueira Campos;;;;;;Santa Maria do Herval;;;;Nhandeara;;
367;;;;;Saúde;;;;;;Itaipé;;;;Sulina;;;;;;Santa Margarida do Sul;;;;Nipoã;;
368;;;;;Seabra;;;;;;Itajubá;;;;Tamarana;;;;;;Santana da Boa Vista;;;;Nova Aliança;;
369;;;;;Sebastião Laranjeiras;;;;;;Itamarandiba;;;;Tamboara;;;;;;Santana do Livramento;;;;Nova Campina;;
370;;;;;Senhor do Bonfim;;;;;;Itamarati de Minas;;;;Tapejara;;;;;;Santa Rosa;;;;Nova Canaã Paulista;;
371;;;;;Serra do Ramalho;;;;;;Itambacuri;;;;Tapira;;;;;;Santa Tereza;;;;Nova Castilho;;
372;;;;;Sento sé;;;;;;Itambé do Mato Dentro;;;;Teixeira Soares;;;;;;Santa Vitória do Palmar;;;;Nova Europa;;
373;;;;;Serra Dourada;;;;;;Itamogi;;;;Telêmaco Borba;;;;;;Santiago;;;;Nova Granada;;
374;;;;;Serra Preta;;;;;;Itamonte;;;;Terra Boa;;;;;;Santo Ângelo;;;;Nova Guataporanga;;
375;;;;;Serrinha;;;;;;Itanhandu;;;;Terra Rica;;;;;;Santo Antônio do Palma;;;;Nova Independência;;
376;;;;;Serrolândia;;;;;;Itanhomi;;;;Terra Roxa;;;;;;Santo Antônio da Patrulha;;;;Novais;;
377;;;;;Simões Filho;;;;;;Itaobim;;;;Tibagi;;;;;;Santo Antônio Das Missões;;;;Nova Luzitânia;;
378;;;;;Sítio do Mato;;;;;;Itapagipe;;;;Tijucas do Sul;;;;;;Santo Antônio do Planalto;;;;Nova Odessa;;
379;;;;;Sítio do Quinto;;;;;;Itapecerica;;;;Toledo;;;;;;Santo Augusto;;;;Novo Horizonte;;
380;;;;;Sobradinho;;;;;;Itapeva;;;;Tomazina;;;;;;Santo Cristo;;;;Nuporanga;;
381;;;;;Souto Soares;;;;;;Itatiaiuçu;;;;Três Barras do Paraná;;;;;;Santo Expedito do Sul;;;;Ocauçu;;
382;;;;;Tabocas do Brejo Velho;;;;;;Itaú de Minas;;;;Tunas do Paraná;;;;;;São Borja;;;;Óleo;;
383;;;;;Tanhaçu;;;;;;Itaúna;;;;Tuneiras do Oeste;;;;;;São Domingos do Sul;;;;Olímpia;;
384;;;;;Tanque Novo;;;;;;Itaverava;;;;Tupãssi;;;;;;São Francisco de Assis;;;;Onda Verde;;
385;;;;;Tanquinho;;;;;;Itinga;;;;Turvo;;;;;;São Francisco de Paula;;;;Oriente;;
386;;;;;Taperoá;;;;;;Itueta;;;;Ubiratã;;;;;;São Gabriel;;;;Orindiúva;;
387;;;;;Tapiramutá;;;;;;Ituiutaba;;;;Umuarama;;;;;;São Jerônimo;;;;Orlândia;;
388;;;;;Teixeira de Freitas;;;;;;Itumirim;;;;União da Vitória;;;;;;São João da Urtiga;;;;Osasco;;
389;;;;;Teodoro Sampaio;;;;;;Iturama;;;;Uniflor;;;;;;São João do Polêsine;;;;Oscar Bressane;;
390;;;;;Teofilândia;;;;;;Itutinga;;;;Uraí;;;;;;São Jorge;;;;Osvaldo Cruz;;
391;;;;;Teolândia;;;;;;Jaboticatubas;;;;Wenceslau Braz;;;;;;São José Das Missões;;;;Ourinhos;;
392;;;;;Terra Nova;;;;;;Jacinto;;;;Ventania;;;;;;São José do Herval;;;;Ouroeste;;
393;;;;;Tremedal;;;;;;Jacuí;;;;Vera Cruz do Oeste;;;;;;São José do Hortêncio;;;;Ouro Verde;;
394;;;;;Tucano;;;;;;Jacutinga;;;;Verê;;;;;;São José do Inhacorá;;;;Pacaembu;;
395;;;;;Uauá;;;;;;Jaguaraçu;;;;Vila Alta;;;;;;São José do Norte;;;;Palestina;;
396;;;;;Ubaíra;;;;;;Jaíba;;;;Doutor Ulysses;;;;;;São José do Ouro;;;;Palmares Paulista;;
397;;;;;Ubaitaba;;;;;;Jampruca;;;;Virmond;;;;;;São José do Sul;;;;Palmeira D´oeste;;
398;;;;;Ubatã;;;;;;Janaúba;;;;Vitorino;;;;;;São José Dos Ausentes;;;;Palmital;;
399;;;;;Uibaí;;;;;;Januária;;;;Xambrê;;;;;;São Leopoldo;;;;Panorama;;
400;;;;;Umburanas;;;;;;Japaraíba;;;;;;;;;;São Lourenço do Sul;;;;Paraguaçu Paulista;;
401;;;;;Una;;;;;;Japonvar;;;;;;;;;;São Luiz Gonzaga;;;;Paraibuna;;
402;;;;;Urandi;;;;;;Jeceaba;;;;;;;;;;São Marcos;;;;Paraíso;;
403;;;;;Uruçuca;;;;;;Jenipapo de Minas;;;;;;;;;;São Martinho;;;;Paranapanema;;
404;;;;;Utinga;;;;;;Jequeri;;;;;;;;;;São Martinho da Serra;;;;Paranapuã;;
405;;;;;Valença;;;;;;Jequitaí;;;;;;;;;;São Miguel Das Missões;;;;Parapuã;;
406;;;;;Valente;;;;;;Jequitibá;;;;;;;;;;São Nicolau;;;;Pardinho;;
407;;;;;Várzea da Roça;;;;;;Jequitinhonha;;;;;;;;;;São Paulo Das Missões;;;;Pariquera-açu;;
408;;;;;Várzea do Poço;;;;;;Jesuânia;;;;;;;;;;São Pedro da Serra;;;;Parisi;;
409;;;;;Várzea Nova;;;;;;Joaíma;;;;;;;;;;São Pedro Das Missões;;;;Patrocínio Paulista;;
410;;;;;Varzedo;;;;;;Joanésia;;;;;;;;;;São Pedro do Butiá;;;;Paulicéia;;
411;;;;;Vera Cruz;;;;;;João Monlevade;;;;;;;;;;São Pedro do Sul;;;;Paulínia;;
412;;;;;Vereda;;;;;;João Pinheiro;;;;;;;;;;São Sebastião do Caí;;;;Paulistânia;;
413;;;;;Vitória da Conquista;;;;;;Joaquim Felício;;;;;;;;;;São Sepé;;;;Paulo de Faria;;
414;;;;;Wagner;;;;;;Jordânia;;;;;;;;;;São Valentim;;;;Pederneiras;;
415;;;;;Wanderley;;;;;;José Gonçalves de Minas;;;;;;;;;;São Valentim do Sul;;;;Pedra Bela;;
416;;;;;Wenceslau Guimarães;;;;;;José Raydan;;;;;;;;;;São Valério do Sul;;;;Pedranópolis;;
417;;;;;Xique-xique;;;;;;Josenópolis;;;;;;;;;;São Vendelino;;;;Pedregulho;;
418;;;;;;;;;;;Nova União;;;;;;;;;;São Vicente do Sul;;;;Pedreira;;
419;;;;;;;;;;;Juatuba;;;;;;;;;;Sapiranga;;;;Pedrinhas Paulista;;
420;;;;;;;;;;;Juiz de Fora;;;;;;;;;;Sapucaia do Sul;;;;Pedro de Toledo;;
421;;;;;;;;;;;Juramento;;;;;;;;;;Sarandi;;;;Penápolis;;
422;;;;;;;;;;;Juruaia;;;;;;;;;;Seberi;;;;Pereira Barreto;;
423;;;;;;;;;;;Juvenília;;;;;;;;;;Sede Nova;;;;Pereiras;;
424;;;;;;;;;;;Ladainha;;;;;;;;;;Segredo;;;;Peruíbe;;
425;;;;;;;;;;;Lagamar;;;;;;;;;;Selbach;;;;Piacatu;;
426;;;;;;;;;;;Lagoa da Prata;;;;;;;;;;Senador Salgado Filho;;;;Piedade;;
427;;;;;;;;;;;Lagoa Dos Patos;;;;;;;;;;Sentinela do Sul;;;;Pilar do Sul;;
428;;;;;;;;;;;Lagoa Dourada;;;;;;;;;;Serafina Corrêa;;;;Pindamonhangaba;;
429;;;;;;;;;;;Lagoa Formosa;;;;;;;;;;Sério;;;;Pindorama;;
430;;;;;;;;;;;Lagoa Grande;;;;;;;;;;Sertão;;;;Pinhalzinho;;
431;;;;;;;;;;;Lagoa Santa;;;;;;;;;;Sertão Santana;;;;Piquerobi;;
432;;;;;;;;;;;Lajinha;;;;;;;;;;Sete de Setembro;;;;Piquete;;
433;;;;;;;;;;;Lambari;;;;;;;;;;Severiano de Almeida;;;;Piracaia;;
434;;;;;;;;;;;Lamim;;;;;;;;;;Silveira Martins;;;;Piracicaba;;
435;;;;;;;;;;;Laranjal;;;;;;;;;;Sinimbu;;;;Piraju;;
436;;;;;;;;;;;Lassance;;;;;;;;;;Sobradinho;;;;Pirajuí;;
437;;;;;;;;;;;Lavras;;;;;;;;;;Soledade;;;;Pirangi;;
438;;;;;;;;;;;Leandro Ferreira;;;;;;;;;;Tabaí;;;;Pirapora do Bom Jesus;;
439;;;;;;;;;;;Leme do Prado;;;;;;;;;;Tapejara;;;;Pirapozinho;;
440;;;;;;;;;;;Leopoldina;;;;;;;;;;Tapera;;;;Pirassununga;;
441;;;;;;;;;;;Liberdade;;;;;;;;;;Tapes;;;;Piratininga;;
442;;;;;;;;;;;Lima Duarte;;;;;;;;;;Taquara;;;;Pitangueiras;;
443;;;;;;;;;;;Limeira do Oeste;;;;;;;;;;Taquari;;;;Planalto;;
444;;;;;;;;;;;Lontra;;;;;;;;;;Taquaruçu do Sul;;;;Platina;;
445;;;;;;;;;;;Luisburgo;;;;;;;;;;Tavares;;;;Poá;;
446;;;;;;;;;;;Luislândia;;;;;;;;;;Tenente Portela;;;;Poloni;;
447;;;;;;;;;;;Luminárias;;;;;;;;;;Terra de Areia;;;;Pompéia;;
448;;;;;;;;;;;Luz;;;;;;;;;;Teutônia;;;;Pongaí;;
449;;;;;;;;;;;Machacalis;;;;;;;;;;Tio Hugo;;;;Pontal;;
450;;;;;;;;;;;Machado;;;;;;;;;;Tiradentes do Sul;;;;Pontalinda;;
451;;;;;;;;;;;Madre de Deus de Minas;;;;;;;;;;Toropi;;;;Pontes Gestal;;
452;;;;;;;;;;;Malacacheta;;;;;;;;;;Torres;;;;Populina;;
453;;;;;;;;;;;Mamonas;;;;;;;;;;Tramandaí;;;;Porangaba;;
454;;;;;;;;;;;Manga;;;;;;;;;;Travesseiro;;;;Porto Feliz;;
455;;;;;;;;;;;Manhuaçu;;;;;;;;;;Três Arroios;;;;Porto Ferreira;;
456;;;;;;;;;;;Manhumirim;;;;;;;;;;Três Cachoeiras;;;;Potim;;
457;;;;;;;;;;;Mantena;;;;;;;;;;Três Coroas;;;;Potirendaba;;
458;;;;;;;;;;;Maravilhas;;;;;;;;;;Três de Maio;;;;Pracinha;;
459;;;;;;;;;;;Mar de Espanha;;;;;;;;;;Três Forquilhas;;;;Pradópolis;;
460;;;;;;;;;;;Maria da fé;;;;;;;;;;Três Palmeiras;;;;Praia Grande;;
461;;;;;;;;;;;Mariana;;;;;;;;;;Três Passos;;;;Pratânia;;
462;;;;;;;;;;;Marilac;;;;;;;;;;Trindade do Sul;;;;Presidente Alves;;
463;;;;;;;;;;;Mário Campos;;;;;;;;;;Triunfo;;;;Presidente Bernardes;;
464;;;;;;;;;;;Maripá de Minas;;;;;;;;;;Tucunduva;;;;Presidente Epitácio;;
465;;;;;;;;;;;Marliéria;;;;;;;;;;Tunas;;;;Presidente Prudente;;
466;;;;;;;;;;;Marmelópolis;;;;;;;;;;Tupanci do Sul;;;;Presidente Venceslau;;
467;;;;;;;;;;;Martinho Campos;;;;;;;;;;Tupanciretã;;;;Promissão;;
468;;;;;;;;;;;Martins Soares;;;;;;;;;;Tupandi;;;;Quadra;;
469;;;;;;;;;;;Mata Verde;;;;;;;;;;Tuparendi;;;;Quatá;;
470;;;;;;;;;;;Materlândia;;;;;;;;;;Turuçu;;;;Queiroz;;
471;;;;;;;;;;;Mateus Leme;;;;;;;;;;Ubiretama;;;;Queluz;;
472;;;;;;;;;;;Matias Barbosa;;;;;;;;;;União da Serra;;;;Quintana;;
473;;;;;;;;;;;Matias Cardoso;;;;;;;;;;Unistalda;;;;Rafard;;
474;;;;;;;;;;;Matipó;;;;;;;;;;Uruguaiana;;;;Rancharia;;
475;;;;;;;;;;;Mato Verde;;;;;;;;;;Vacaria;;;;Redenção da Serra;;
476;;;;;;;;;;;Matozinhos;;;;;;;;;;Vale Verde;;;;Regente Feijó;;
477;;;;;;;;;;;Matutina;;;;;;;;;;Vale do Sol;;;;Reginópolis;;
478;;;;;;;;;;;Medeiros;;;;;;;;;;Vale Real;;;;Registro;;
479;;;;;;;;;;;Medina;;;;;;;;;;Vanini;;;;Restinga;;
480;;;;;;;;;;;Mendes Pimentel;;;;;;;;;;Venâncio Aires;;;;Ribeira;;
481;;;;;;;;;;;Mercês;;;;;;;;;;Vera Cruz;;;;Ribeirão Bonito;;
482;;;;;;;;;;;Mesquita;;;;;;;;;;Veranópolis;;;;Ribeirão Branco;;
483;;;;;;;;;;;Minas Novas;;;;;;;;;;Vespasiano Correa;;;;Ribeirão Corrente;;
484;;;;;;;;;;;Minduri;;;;;;;;;;Viadutos;;;;Ribeirão do Sul;;
485;;;;;;;;;;;Mirabela;;;;;;;;;;Viamão;;;;Ribeirão Dos Índios;;
486;;;;;;;;;;;Miradouro;;;;;;;;;;Vicente Dutra;;;;Ribeirão Grande;;
487;;;;;;;;;;;Miraí;;;;;;;;;;Victor Graeff;;;;Ribeirão Pires;;
488;;;;;;;;;;;Miravânia;;;;;;;;;;Vila Flores;;;;Ribeirão Preto;;
489;;;;;;;;;;;Moeda;;;;;;;;;;Vila Lângaro;;;;Riversul;;
490;;;;;;;;;;;Moema;;;;;;;;;;Vila Maria;;;;Rifaina;;
491;;;;;;;;;;;Monjolos;;;;;;;;;;Vila Nova do Sul;;;;Rincão;;
492;;;;;;;;;;;Monsenhor Paulo;;;;;;;;;;Vista Alegre;;;;Rinópolis;;
493;;;;;;;;;;;Montalvânia;;;;;;;;;;Vista Alegre do Prata;;;;Rio Claro;;
494;;;;;;;;;;;Monte Alegre de Minas;;;;;;;;;;Vista Gaúcha;;;;Rio Das Pedras;;
495;;;;;;;;;;;Monte Azul;;;;;;;;;;Vitória Das Missões;;;;Rio Grande da Serra;;
496;;;;;;;;;;;Monte Belo;;;;;;;;;;Westfalia;;;;Riolândia;;
497;;;;;;;;;;;Monte Carmelo;;;;;;;;;;Xangri-lá;;;;Rosana;;
498;;;;;;;;;;;Monte Formoso;;;;;;;;;;;;;;Roseira;;
499;;;;;;;;;;;Monte Santo de Minas;;;;;;;;;;;;;;Rubiácea;;
500;;;;;;;;;;;Montes Claros;;;;;;;;;;;;;;Rubinéia;;
501;;;;;;;;;;;Monte Sião;;;;;;;;;;;;;;Sabino;;
502;;;;;;;;;;;Montezuma;;;;;;;;;;;;;;Sagres;;
503;;;;;;;;;;;Morada Nova de Minas;;;;;;;;;;;;;;Sales;;
504;;;;;;;;;;;Morro da Garça;;;;;;;;;;;;;;Sales Oliveira;;
505;;;;;;;;;;;Morro do Pilar;;;;;;;;;;;;;;Salesópolis;;
506;;;;;;;;;;;Munhoz;;;;;;;;;;;;;;Salmourão;;
507;;;;;;;;;;;Muriaé;;;;;;;;;;;;;;Saltinho;;
508;;;;;;;;;;;Mutum;;;;;;;;;;;;;;Salto;;
509;;;;;;;;;;;Muzambinho;;;;;;;;;;;;;;Salto de Pirapora;;
510;;;;;;;;;;;Nacip Raydan;;;;;;;;;;;;;;Salto Grande;;
511;;;;;;;;;;;Nanuque;;;;;;;;;;;;;;Sandovalina;;
512;;;;;;;;;;;Naque;;;;;;;;;;;;;;Santa Adélia;;
513;;;;;;;;;;;Natalândia;;;;;;;;;;;;;;Santa Albertina;;
514;;;;;;;;;;;Natércia;;;;;;;;;;;;;;Santa Bárbara D´oeste;;
515;;;;;;;;;;;Nazareno;;;;;;;;;;;;;;Santa Branca;;
516;;;;;;;;;;;Nepomuceno;;;;;;;;;;;;;;Santa Clara D´oeste;;
517;;;;;;;;;;;Ninheira;;;;;;;;;;;;;;Santa Cruz da Conceição;;
518;;;;;;;;;;;Nova Belém;;;;;;;;;;;;;;Santa Cruz da Esperança;;
519;;;;;;;;;;;Nova Era;;;;;;;;;;;;;;Santa Cruz Das Palmeiras;;
520;;;;;;;;;;;Nova Lima;;;;;;;;;;;;;;Santa Cruz do Rio Pardo;;
521;;;;;;;;;;;Nova Módica;;;;;;;;;;;;;;Santa Ernestina;;
522;;;;;;;;;;;Nova Ponte;;;;;;;;;;;;;;Santa fé do Sul;;
523;;;;;;;;;;;Nova Porteirinha;;;;;;;;;;;;;;Santa Gertrudes;;
524;;;;;;;;;;;Nova Resende;;;;;;;;;;;;;;Santa Isabel;;
525;;;;;;;;;;;Nova Serrana;;;;;;;;;;;;;;Santa Lúcia;;
526;;;;;;;;;;;Novo Cruzeiro;;;;;;;;;;;;;;Santa Maria da Serra;;
527;;;;;;;;;;;Novo Oriente de Minas;;;;;;;;;;;;;;Santa Mercedes;;
528;;;;;;;;;;;Novorizonte;;;;;;;;;;;;;;Santana da Ponte Pensa;;
529;;;;;;;;;;;Olaria;;;;;;;;;;;;;;Santana de Parnaíba;;
530;;;;;;;;;;;Olhos-d´água;;;;;;;;;;;;;;Santa Rita D´oeste;;
531;;;;;;;;;;;Olímpio Noronha;;;;;;;;;;;;;;Santa Rita do Passa Quatro;;
532;;;;;;;;;;;Oliveira;;;;;;;;;;;;;;Santa Rosa de Viterbo;;
533;;;;;;;;;;;Oliveira Fortes;;;;;;;;;;;;;;Santa Salete;;
534;;;;;;;;;;;Onça de Pitangui;;;;;;;;;;;;;;Santo Anastácio;;
535;;;;;;;;;;;Oratórios;;;;;;;;;;;;;;Santo André;;
536;;;;;;;;;;;Orizânia;;;;;;;;;;;;;;Santo Antônio da Alegria;;
537;;;;;;;;;;;Ouro Branco;;;;;;;;;;;;;;Santo Antônio de Posse;;
538;;;;;;;;;;;Ouro Fino;;;;;;;;;;;;;;Santo Antônio do Aracanguá;;
539;;;;;;;;;;;Ouro Preto;;;;;;;;;;;;;;Santo Antônio do Jardim;;
540;;;;;;;;;;;Ouro Verde de Minas;;;;;;;;;;;;;;Santo Antônio do Pinhal;;
541;;;;;;;;;;;Padre Carvalho;;;;;;;;;;;;;;Santo Expedito;;
542;;;;;;;;;;;Padre Paraíso;;;;;;;;;;;;;;Santópolis do Aguapeí;;
543;;;;;;;;;;;Paineiras;;;;;;;;;;;;;;Santos;;
544;;;;;;;;;;;Pains;;;;;;;;;;;;;;São Bento do Sapucaí;;
545;;;;;;;;;;;Pai Pedro;;;;;;;;;;;;;;São Bernardo do Campo;;
546;;;;;;;;;;;Paiva;;;;;;;;;;;;;;São Caetano do Sul;;
547;;;;;;;;;;;Palma;;;;;;;;;;;;;;São Carlos;;
548;;;;;;;;;;;Palmópolis;;;;;;;;;;;;;;São Francisco;;
549;;;;;;;;;;;Papagaios;;;;;;;;;;;;;;São João da Boa Vista;;
550;;;;;;;;;;;Paracatu;;;;;;;;;;;;;;São João Das Duas Pontes;;
551;;;;;;;;;;;Pará de Minas;;;;;;;;;;;;;;São João de Iracema;;
552;;;;;;;;;;;Paraguaçu;;;;;;;;;;;;;;São João do Pau D´alho;;
553;;;;;;;;;;;Paraisópolis;;;;;;;;;;;;;;São Joaquim da Barra;;
554;;;;;;;;;;;Paraopeba;;;;;;;;;;;;;;São José da Bela Vista;;
555;;;;;;;;;;;Passabém;;;;;;;;;;;;;;São José do Barreiro;;
556;;;;;;;;;;;Passa Quatro;;;;;;;;;;;;;;São José do Rio Pardo;;
557;;;;;;;;;;;Passa Tempo;;;;;;;;;;;;;;São José do Rio Preto;;
558;;;;;;;;;;;Passa-vinte;;;;;;;;;;;;;;São José Dos Campos;;
559;;;;;;;;;;;Passos;;;;;;;;;;;;;;São Lourenço da Serra;;
560;;;;;;;;;;;Patis;;;;;;;;;;;;;;São Luís do Paraitinga;;
561;;;;;;;;;;;Patos de Minas;;;;;;;;;;;;;;São Manuel;;
562;;;;;;;;;;;Patrocínio;;;;;;;;;;;;;;São Miguel Arcanjo;;
563;;;;;;;;;;;Patrocínio do Muriaé;;;;;;;;;;;;;;São Paulo;;
564;;;;;;;;;;;Paula Cândido;;;;;;;;;;;;;;São Pedro;;
565;;;;;;;;;;;Paulistas;;;;;;;;;;;;;;São Pedro do Turvo;;
566;;;;;;;;;;;Pavão;;;;;;;;;;;;;;São Roque;;
567;;;;;;;;;;;Peçanha;;;;;;;;;;;;;;São Sebastião;;
568;;;;;;;;;;;Pedra Azul;;;;;;;;;;;;;;São Sebastião da Grama;;
569;;;;;;;;;;;Pedra Bonita;;;;;;;;;;;;;;São Simão;;
570;;;;;;;;;;;Pedra do Anta;;;;;;;;;;;;;;São Vicente;;
571;;;;;;;;;;;Pedra do Indaiá;;;;;;;;;;;;;;Sarapuí;;
572;;;;;;;;;;;Pedra Dourada;;;;;;;;;;;;;;Sarutaiá;;
573;;;;;;;;;;;Pedralva;;;;;;;;;;;;;;Sebastianópolis do Sul;;
574;;;;;;;;;;;Pedras de Maria da Cruz;;;;;;;;;;;;;;Serra Azul;;
575;;;;;;;;;;;Pedrinópolis;;;;;;;;;;;;;;Serrana;;
576;;;;;;;;;;;Pedro Leopoldo;;;;;;;;;;;;;;Serra Negra;;
577;;;;;;;;;;;Pedro Teixeira;;;;;;;;;;;;;;Sertãozinho;;
578;;;;;;;;;;;Pequeri;;;;;;;;;;;;;;Sete Barras;;
579;;;;;;;;;;;Pequi;;;;;;;;;;;;;;Severínia;;
580;;;;;;;;;;;Perdigão;;;;;;;;;;;;;;Silveiras;;
581;;;;;;;;;;;Perdizes;;;;;;;;;;;;;;Socorro;;
582;;;;;;;;;;;Perdões;;;;;;;;;;;;;;Sorocaba;;
583;;;;;;;;;;;Periquito;;;;;;;;;;;;;;Sud Mennucci;;
584;;;;;;;;;;;Pescador;;;;;;;;;;;;;;Sumaré;;
585;;;;;;;;;;;Piau;;;;;;;;;;;;;;Suzano;;
586;;;;;;;;;;;Piedade de Caratinga;;;;;;;;;;;;;;Suzanápolis;;
587;;;;;;;;;;;Piedade de Ponte Nova;;;;;;;;;;;;;;Tabapuã;;
588;;;;;;;;;;;Piedade do Rio Grande;;;;;;;;;;;;;;Tabatinga;;
589;;;;;;;;;;;Piedade Dos Gerais;;;;;;;;;;;;;;Taboão da Serra;;
590;;;;;;;;;;;Pimenta;;;;;;;;;;;;;;Taciba;;
591;;;;;;;;;;;Pingo-d´água;;;;;;;;;;;;;;Taguaí;;
592;;;;;;;;;;;Pintópolis;;;;;;;;;;;;;;Taiaçu;;
593;;;;;;;;;;;Piracema;;;;;;;;;;;;;;Taiúva;;
594;;;;;;;;;;;Pirajuba;;;;;;;;;;;;;;Tambaú;;
595;;;;;;;;;;;Piranga;;;;;;;;;;;;;;Tanabi;;
596;;;;;;;;;;;Piranguçu;;;;;;;;;;;;;;Tapiraí;;
597;;;;;;;;;;;Piranguinho;;;;;;;;;;;;;;Tapiratiba;;
598;;;;;;;;;;;Pirapetinga;;;;;;;;;;;;;;Taquaral;;
599;;;;;;;;;;;Pirapora;;;;;;;;;;;;;;Taquaritinga;;
600;;;;;;;;;;;Piraúba;;;;;;;;;;;;;;Taquarituba;;
601;;;;;;;;;;;Pitangui;;;;;;;;;;;;;;Taquarivaí;;
602;;;;;;;;;;;Piumhi;;;;;;;;;;;;;;Tarabai;;
603;;;;;;;;;;;Planura;;;;;;;;;;;;;;Tarumã;;
604;;;;;;;;;;;Poço Fundo;;;;;;;;;;;;;;Tatuí;;
605;;;;;;;;;;;Poços de Caldas;;;;;;;;;;;;;;Taubaté;;
606;;;;;;;;;;;Pocrane;;;;;;;;;;;;;;Tejupá;;
607;;;;;;;;;;;Pompéu;;;;;;;;;;;;;;Teodoro Sampaio;;
608;;;;;;;;;;;Ponte Nova;;;;;;;;;;;;;;Terra Roxa;;
609;;;;;;;;;;;Ponto Chique;;;;;;;;;;;;;;Tietê;;
610;;;;;;;;;;;Ponto Dos Volantes;;;;;;;;;;;;;;Timburi;;
611;;;;;;;;;;;Porteirinha;;;;;;;;;;;;;;Torre de Pedra;;
612;;;;;;;;;;;Porto Firme;;;;;;;;;;;;;;Torrinha;;
613;;;;;;;;;;;Poté;;;;;;;;;;;;;;Trabiju;;
614;;;;;;;;;;;Pouso Alegre;;;;;;;;;;;;;;Tremembé;;
615;;;;;;;;;;;Pouso Alto;;;;;;;;;;;;;;Três Fronteiras;;
616;;;;;;;;;;;Prados;;;;;;;;;;;;;;Tuiuti;;
617;;;;;;;;;;;Prata;;;;;;;;;;;;;;Tupã;;
618;;;;;;;;;;;Pratápolis;;;;;;;;;;;;;;Tupi Paulista;;
619;;;;;;;;;;;Pratinha;;;;;;;;;;;;;;Turiúba;;
620;;;;;;;;;;;Presidente Bernardes;;;;;;;;;;;;;;Turmalina;;
621;;;;;;;;;;;Presidente Juscelino;;;;;;;;;;;;;;Ubarana;;
622;;;;;;;;;;;Presidente Kubitschek;;;;;;;;;;;;;;Ubatuba;;
623;;;;;;;;;;;Presidente Olegário;;;;;;;;;;;;;;Ubirajara;;
624;;;;;;;;;;;Alto Jequitibá;;;;;;;;;;;;;;Uchoa;;
625;;;;;;;;;;;Prudente de Morais;;;;;;;;;;;;;;União Paulista;;
626;;;;;;;;;;;Quartel Geral;;;;;;;;;;;;;;Urânia;;
627;;;;;;;;;;;Queluzito;;;;;;;;;;;;;;Uru;;
628;;;;;;;;;;;Raposos;;;;;;;;;;;;;;Urupês;;
629;;;;;;;;;;;Raul Soares;;;;;;;;;;;;;;Valentim Gentil;;
630;;;;;;;;;;;Recreio;;;;;;;;;;;;;;Valinhos;;
631;;;;;;;;;;;Reduto;;;;;;;;;;;;;;Valparaíso;;
632;;;;;;;;;;;Resende Costa;;;;;;;;;;;;;;Vargem;;
633;;;;;;;;;;;Resplendor;;;;;;;;;;;;;;Vargem Grande do Sul;;
634;;;;;;;;;;;Ressaquinha;;;;;;;;;;;;;;Vargem Grande Paulista;;
635;;;;;;;;;;;Riachinho;;;;;;;;;;;;;;Várzea Paulista;;
636;;;;;;;;;;;Riacho Dos Machados;;;;;;;;;;;;;;Vera Cruz;;
637;;;;;;;;;;;Ribeirão Das Neves;;;;;;;;;;;;;;Vinhedo;;
638;;;;;;;;;;;Ribeirão Vermelho;;;;;;;;;;;;;;Viradouro;;
639;;;;;;;;;;;Rio Acima;;;;;;;;;;;;;;Vista Alegre do Alto;;
640;;;;;;;;;;;Rio Casca;;;;;;;;;;;;;;Vitória Brasil;;
